89,-2698,258872
272781136,2342,-2632,259044
272781838,2226,-2833,258739
272782540,2323,-2715,258627
272783242,2034,-2661,258980
272783944,2239,-2719,259045
272784645,2060,-2662,258795
272785347,2115,-2644,258717
272786050,2238,-2634,258876
272786753,2029,-2990,258489
272787454,1868,-2897,258547
272788157,2208,-2708,258265
272788860,2079,-3003,258423
272789561,2211,-2910,258694
272790262,2329,-2769,258492
272790965,2243,-2734,258585
272791667,2202,-2669,258757
272792368,2193,-2739,258528
272793070,2093,-2801,259039
272793772,2122,-2675,259072
272794474,2345,-2711,258635
272795177,2407,-2622,258720
272795879,2405,-2621,258837
272796580,2238,-2708,258559
272797282,2043,-2572,258548
272797985,2273,-2820,258816
272798686,2236,-2902,258553
272799387,2273,-2711,258883
272800089,2223,-2699,258705
272800791,2162,-2812,258468
272801493,2352,-2801,258825
272802196,2272,-2878,258636
272802898,2306,-2749,258376
272803599,1963,-2635,258451
272804301,2027,-2625,258707
272805004,2348,-2839,258791
272805706,2365,-2880,258473
272806407,2196,-2801,258441
272807110,2190,-2766,258564
272807813,2446,-2632,258606
272808514,2211,-2734,258757
272809215,2247,-2852,258864
272809918,2080,-2837,258604
272810620,2254,-2663,258922
272811321,2213,-2568,258481
272812023,2210,-2837,258713
272812726,2161,-2882,258662
272813428,2235,-2680,258824
272814130,2160,-2716,258705
272814832,2199,-2481,258865
272815533,2472,-2758,258874
272816235,2300,-2785,258600
272816938,2124,-2820,258360
272817639,2055,-2843,258756
272818340,2126,-3021,258567
272819043,2186,-2945,258698
272819746,2428,-2749,258343
272820447,2079,-2727,258503
272821149,2268,-2542,258858
272821852,2121,-2988,258698
272822554,2238,-2887,258837
272823255,2252,-2643,259252
272823957,2563,-2607,258854
272824658,2356,-2889,258507
272825360,2100,-2812,259067
272826063,2192,-2894,258793
272826765,1926,-2863,259026
272827466,2444,-2648,258859
272828169,2239,-2848,258979
272828872,2260,-2852,258571
272829573,2154,-2811,258387
272830274,2253,-2974,258557
272830977,2019,-2727,258534
272831679,2360,-2664,258609
272832380,2434,-2599,258711
272833082,2278,-2699,258424
272833785,2160,-2940,258575
272834487,2176,-2754,258565
272835189,2234,-2843,258743
272835891,2184,-2616,258580
272836592,2338,-2678,259001
272837294,2274,-2765,258687
272837997,2131,-2915,258612
272838698,2207,-2778,258954
272839399,2168,-2583,259155
272840102,2282,-2743,258800
272840805,2238,-2582,258738
272841506,2209,-2734,258764
272842208,2159,-2741,258505
272842911,2304,-2808,258486
272843613,2256,-2751,258557
272844314,2271,-2895,258467
272845016,2249,-2892,258603
272845719,2228,-2816,258643
272846421,2087,-2873,258185
272847123,2252,-2660,258446
272847825,2300,-2761,258847
272848526,2283,-2671,258710
272849228,2170,-2937,258429
272849931,2085,-2935,258441
272850632,2103,-2783,258683
272851333,2160,-2877,258896
272852036,2290,-2715,258688
272852739,2400,-2729,258764
272853440,2133,-2706,259048
272854142,2297,-2876,258434
272854845,1908,-2843,258932
272855547,2250,-2638,258820
272856248,2178,-2744,258549
272856950,2209,-2549,258721
272857652,2252,-2956,258691
272858354,2212,-2792,258510
272859056,2278,-2778,258460
272859758,2307,-2556,258824
272860460,2104,-2613,258648
272861163,2273,-2698,258757
272861866,2009,-2807,258510
272862567,1980,-2835,258477
272863268,2164,-2699,258517
272863971,2224,-2721,258845
272864672,2225,-2653,258752
272865373,1914,-2905,258964
272866076,1963,-2819,258677
272866779,2229,-2967,258692
272867481,2216,-2900,259172
272868183,2320,-2580,258959
272868885,2271,-2871,259167
272869587,2129,-2967,258674
272870289,2207,-2826,258834
272870991,2112,-3116,258192
272871692,2129,-2714,258599
272872394,2120,-2636,259022
272873097,2206,-2732,258640
272873799,2165,-2698,258315
272874500,2307,-3012,258156
272875203,2318,-2751,258495
272875906,2461,-2627,258611
272876607,2432,-2672,258971
272877308,2132,-2668,258616
272878011,2449,-2871,258519
272878714,1989,-2810,258460
272879415,2336,-2731,258563
272880117,2377,-2639,258791
272880819,2444,-2783,258811
272881521,2328,-2792,258520
272882223,2412,-2876,258574
272882925,2283,-2781,258584
272883626,2194,-2832,259024
272884328,2291,-2809,259021
272885031,2451,-2581,258824
272885733,2189,-2802,258829
272886434,2186,-2747,258376
272887137,2145,-2662,258614
272887840,1944,-2694,258541
272888541,2256,-2623,258801
272889242,2202,-2817,258827
272889945,2337,-2826,258627
272890647,2257,-2960,258448
272891349,2090,-2927,258503
272892051,2169,-2792,258570
272892753,2247,-2646,258927
272893455,2070,-2897,258940
272894158,2136,-2900,258775
272894860,2148,-2918,258777
272895561,2198,-2971,258544
272896262,2349,-2785,258717
272896965,2221,-2744,259057
272897666,2326,-2529,258996
272898367,2287,-2784,258807
272899070,2315,-2652,258598
272899773,2181,-2672,258516
272900474,2251,-2714,258765
272901176,2345,-2905,258834
272901879,2405,-2806,258559
272902581,2014,-2723,258404
272903282,2143,-2927,258746
272903984,2157,-2703,258711
272904685,2099,-2522,258570
272905386,2035,-2762,258675
272906089,2376,-2767,258591
272906792,2097,-3130,258754
272907493,2013,-2844,258707
272908195,2107,-2531,258880
272908897,2184,-2612,258698
272909599,2259,-2826,258761
272910301,2206,-2976,258619
272911003,2143,-2830,258842
272911705,2088,-2586,258900
272912407,2117,-2612,258661
272913110,2281,-2778,258888
272913812,2351,-2725,258675
272914513,2241,-2726,258536
272915214,2128,-2957,258197
272915917,2338,-2655,258442
272916618,2338,-2636,258812
272917319,2364,-2482,258747
272918022,2354,-2975,258973
272918725,2050,-2842,258652
272919427,2318,-2937,258642
272920129,2189,-2698,258576
272920831,2198,-2840,258848
272921533,2339,-2848,258611
272922235,2217,-2900,258827
272922937,2265,-2892,258463
272923638,2087,-3009,258729
272924339,2291,-2564,258957
272925042,2100,-2496,258487
272925745,2228,-2707,258656
272926446,2245,-2649,258774
272927149,2152,-2788,258274
272927852,2133,-2689,258534
272928554,2301,-2817,258674
272929255,2111,-2787,258510
272929957,2122,-2718,258580
272930659,2199,-2898,258327
272931361,2123,-2758,258577
272932063,2190,-2866,258343
272932765,2015,-2699,258490
272933467,2468,-2586,258874
272934170,2203,-2458,258676
272934873,2054,-2710,258581
272935574,2164,-2931,258435
272936275,2232,-2709,258744
272936978,2117,-2807,258705
272937680,2031,-2808,258621
272938381,2167,-2749,258785
272939083,2149,-2971,258802
272939786,2305,-2777,258716
272940488,2328,-2654,258924
272941190,2419,-2770,258929
272941892,2241,-2676,258588
272942593,2124,-2797,258575
272943295,2251,-2873,258514
272943998,2286,-2806,258540
272944699,2262,-2769,258526
272945400,2101,-2550,258757
272946103,2342,-2758,258510
272946806,2450,-2917,258676
272947507,2400,-2575,258443
272948209,2186,-2855,258316
272948912,2419,-2977,258602
272949614,2168,-2744,258737
272950316,2297,-2805,258684
272951018,2165,-2880,258838
272951720,2118,-3083,258856
272952422,2278,-2794,258663
272953125,2181,-2493,258703
272953827,2206,-2503,259025
272954528,2101,-2880,258573
272955229,2115,-2932,258616
272955932,2302,-2665,258794
272956634,2295,-2554,258812
272957335,2394,-2856,258674
272958037,2138,-2772,258457
272958740,2444,-2967,258296
272959442,2125,-2814,258415
272960144,2400,-2750,258470
272960846,2187,-2735,258228
272961547,2278,-2545,258763
272962249,2351,-2729,258892
272962952,2184,-2720,258655
272963653,2203,-2999,258595
272964354,2205,-2737,258754
272965057,2234,-2662,258805
272965760,2232,-2635,258986
272966461,1995,-2886,258616
272967163,2251,-2892,258347
272967866,1987,-2889,258587
272968568,2356,-2622,258596
272969269,2359,-2818,258576
272969971,2372,-2896,258715
272970673,2224,-3010,258361
272971375,2190,-2858,258437
272972078,2418,-2740,258566
272972780,2111,-2715,258762
272973481,2256,-2514,258577
272974184,2186,-2707,258513
272974887,2259,-3016,258553
272975588,2171,-2729,258410
272976289,2135,-2776,258373
272976992,2448,-2562,258792
272977694,2278,-2523,259039
272978396,2193,-2738,258361
272979099,2092,-2750,258825
272979802,2347,-2847,258663
272980503,2208,-2863,258836
272981206,2449,-2819,258659
272981909,2208,-2860,258729
272982610,2081,-2933,258793
272983311,2296,-2990,258535
272984014,2336,-2688,258611
272984717,2309,-2843,258413
272985419,2078,-2684,259067
272986121,2296,-2612,258553
272986823,2067,-2658,258604
272987525,2172,-2774,258717
272988227,2266,-2808,258281
272988929,2149,-2879,258402
272989630,2235,-2848,258996
272990332,2296,-2472,258428
272991035,2226,-2788,258548
272991737,2064,-2682,258746
272992438,2341,-2837,258644
272993141,2203,-2954,258926
272993844,2327,-2780,258831
272994545,1929,-2691,258869
272995246,2311,-2753,258904
272995949,2240,-2850,258535
272996651,2188,-2763,258623
272997352,2356,-2531,258968
272998054,2365,-2707,258903
272998757,2050,-2872,258771
272999459,1972,-2819,258433
273000162,2338,-2781,258636
273000864,2277,-2643,258390
273001565,2263,-2469,258530
273002267,2361,-2763,258858
273002970,2278,-2610,258522
273003671,2142,-2802,258160
273004372,2190,-2751,258619
273005075,2194,-2768,258482
273005778,2309,-2776,258856
273006479,2268,-2963,258752
273007181,2357,-2783,258715
273007883,2156,-2782,258709
273008585,2125,-2608,258600
273009286,2306,-2824,258689
273009988,2068,-2777,258801
273010689,2256,-2753,258602
273011390,2237,-2665,258786
273012093,2203,-2889,258688
273012796,2155,-2815,258571
273013497,2214,-2634,258484
273014200,2179,-2643,258927
273014903,2078,-2783,258624
273015604,2364,-2757,258626
273016305,2345,-2936,258048
273017008,2049,-2611,258211
273017711,2130,-2864,258688
273018413,2165,-2783,258588
273019115,2289,-2848,258671
273019817,2229,-2846,258609
273020519,2206,-2739,258383
273021220,2097,-2720,258380
273021923,2311,-2810,258565
273022625,2365,-2686,258347
273023326,2250,-2799,258945
273024028,2327,-3008,259021
273024731,2199,-2821,258699
273025433,2219,-2590,258589
273026136,2260,-2450,258812
273026838,2247,-2514,258801
273027539,2296,-2593,258374
273028241,2174,-2469,258705
273028944,2275,-3024,258557
273029645,2250,-2895,258333
273030346,2150,-2657,258850
273031049,2245,-3045,258640
273031752,2184,-2678,258736
273032453,2116,-2968,258520
273033155,2029,-2619,258701
273033858,2372,-2655,258568
273034560,2010,-2718,258639
273035262,1841,-2820,258684
273035964,2178,-2794,258605
273036665,2297,-2759,258480
273037367,2256,-2879,259084
273038070,2271,-2572,259050
273038772,2347,-2938,258775
273039473,2221,-2789,258675
273040176,2417,-2742,258549
273040879,2320,-2732,258818
273041580,1945,-2754,258544
273042281,2194,-2750,258432
273042984,2224,-2636,258837
273043686,2525,-2902,258616
273044387,2257,-2650,258648
273045090,2187,-2546,258319
273045793,2350,-2826,258442
273046494,2280,-2652,258495
273047196,2219,-2936,258965
273047898,2257,-2929,258559
273048600,2328,-2717,258935
273049302,2167,-2893,258577
273050004,2226,-3008,258455
273050706,2259,-2737,258835
273051408,2253,-2640,259063
273052111,2140,-2757,258851
273052814,2269,-2690,258725
273053515,2243,-2837,258834
273054216,2188,-2764,258973
273054919,2180,-2850,258648
273055620,2229,-2757,258753
273056321,2125,-2914,258464
273057023,2343,-2591,258701
273057726,2337,-2657,258274
273058428,2385,-2715,258717
273059130,2154,-2937,258484
273059832,2334,-2717,258310
273060533,2077,-2819,258583
273061235,2234,-2739,258453
273061938,2286,-2765,258757
273062639,2306,-2794,258617
273063340,2389,-2819,258533
273064043,2027,-2777,258595
273064746,2070,-2695,258607
273065447,2236,-2607,259085
273066149,2044,-2848,258881
273066852,2365,-2560,258622
273067554,2195,-2693,259122
273068255,2330,-2743,258782
273068957,2055,-2889,258541
273069658,2135,-2882,258525
273070360,2100,-2589,258674
273071063,2053,-2772,258368
273071765,2064,-2873,258453
273072466,2141,-2751,258870
273073169,2113,-2769,258541
273073872,2217,-2730,258405
273074573,2044,-2747,258614
273075274,2119,-2943,258336
273075977,2218,-2828,258912
273076679,2324,-2774,258689
273077380,2449,-2770,258962
273078082,2111,-2799,258815
273078785,2218,-2851,259007
273079487,2006,-3031,258575
273080189,2102,-3060,258798
273080891,2315,-2785,258671
273081592,2279,-2590,258878
273206139,2296,-2529,258645
273206841,2082,-2780,258327
273207543,2433,-2892,259020
273208245,2243,-2991,258599
273208948,2257,-2790,258587
273209649,2370,-2913,258699
273210350,2296,-2685,258807
273211053,2279,-2694,258873
273211756,2103,-2780,258798
273212457,2075,-2826,258994
273213159,2167,-2903,258681
273213861,2248,-2618,258867
273214563,1906,-2873,258514
273215265,2273,-2792,258720
273215968,2381,-2771,258787
273216669,2235,-2772,258852
273217370,2159,-2883,258620
273218073,2086,-2736,258618
273218776,2206,-2874,258589
273219477,2297,-2760,258703
273220179,2184,-2729,258657
273220881,2112,-2619,258317
273221583,2358,-2640,258302
273222285,2366,-2749,258691
273222988,2359,-2533,258675
273223689,2136,-2604,258626
273224390,2194,-2527,258615
273225093,2210,-2796,258598
273225796,2174,-2792,258992
273226497,2353,-2679,258707
273227199,2064,-2686,258742
273227901,2281,-2660,258562
273228602,2306,-2746,258778
273229304,2124,-3054,258783
273230007,2073,-2715,258799
273230709,2302,-2772,258747
273231410,2268,-2824,258539
273232113,2313,-2736,258460
273232816,2151,-2829,258442
273233517,2266,-2738,258654
273234219,2168,-2864,258561
273234921,2247,-2654,258589
273235622,2182,-2617,258674
273236324,2262,-2779,258706
273237027,2106,-2892,258387
273237730,2175,-2754,258993
273238431,2063,-2899,258669
273239133,2223,-2883,258712
273239836,2236,-2843,258708
273240538,1941,-2724,258935
273241239,2162,-2901,258591
273241941,2331,-2878,258675
273242642,2214,-2705,258734
273243344,2230,-2770,258888
273244047,2302,-2718,258531
