-2344,141420,214061
316075293,-2283,141017,213705
316075994,-2308,140734,213962
316076695,-2256,140885,214183
316077398,-2382,140686,214125
316078101,-2440,140844,214013
316078802,-2253,140728,213948
316079504,-2395,140563,214010
316080206,-2421,140904,214313
316080907,-2296,140909,214305
316081609,-2310,140812,213873
316082311,-2434,141053,213878
316083013,-2372,141027,213967
316083715,-2216,141125,214605
316084417,-2386,141141,214082
316085119,-2649,141059,214206
316085821,-2308,140780,214070
316086522,-2493,140880,214076
316087224,-2236,140820,214068
316087926,-2371,140734,214143
316088628,-2352,140811,214009
316089330,-2428,140552,213915
316090033,-2442,140793,214002
316090735,-2398,140744,213891
316091437,-2245,141070,214101
316092140,-2487,141014,214125
316092842,-2320,141221,214153
316093543,-2313,140973,214191
316094245,-2383,141001,214268
316094947,-2357,141130,214490
316095648,-2166,140868,214034
316096350,-2295,141026,214136
316097053,-2211,140767,213825
316097754,-2449,140826,214440
316098456,-2585,140739,214099
316099159,-2354,140640,214211
316099860,-2319,140748,214205
316100561,-2229,141082,214158
316101264,-2450,141005,214023
316101965,-2244,140807,214060
316102666,-2373,141137,213949
316103369,-2367,141139,214391
316104072,-2274,140985,214560
316104773,-2522,140904,214538
316105476,-2376,140858,214317
316106179,-2443,140975,214287
316106880,-2367,141027,214305
316107581,-2440,140836,214110
316108284,-2331,140977,214322
316108985,-2571,141113,213892
316109686,-2605,140779,214139
316110389,-2396,141081,213993
316111091,-2454,141048,214000
316111792,-2271,140975,214481
316112495,-2215,141125,214090
316113198,-2246,141096,213925
316113899,-2435,141102,214033
316114601,-2547,140885,214365
316115303,-2657,140736,214409
316116005,-2335,140772,214515
316116707,-2495,140897,214218
316117410,-2777,140898,214383
316118112,-2475,141060,214181
316118814,-2510,140914,214345
316119516,-2475,140910,214490
316120218,-2290,141051,214085
316120920,-2144,140951,213985
316121622,-2126,140859,214027
316122324,-2293,140925,214343
316123027,-2030,140887,214304
316123729,-2019,140950,214064
316124431,-2502,140781,213951
316125134,-2113,140832,214233
316125836,-2432,141023,214378
316126537,-2443,140823,214349
316127240,-2455,140866,214062
316127942,-2492,140949,214241
316128643,-2320,140971,214299
316129346,-2269,140964,214013
316130049,-2244,140958,214238
316130750,-2340,141073,214082
316131452,-2253,140781,214022
316132155,-1993,140726,214546
316132856,-2296,140830,213902
